league,season,date,year,month,day,time,score,home_team,away_team,home_formation,away_formation,venue,referee,file_path
england_epl,2014-2015,2015-02-21,2015,2,21,16:00,1 - 1,Chelsea,Burnley,4-2-3-1,4-4-1-1,Stamford Bridge (London),Martin Atkinson,database/Game_dataset/england_epl_2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/Labels-caption.json
england_epl,2014-2015,2015-02-21,2015,2,21,16:00,1 - 2,Crystal Palace,Arsenal,4-1-4-1,4-2-3-1,Selhurst Park (London),Mark Clattenburg,database/Game_dataset/england_epl_2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/Labels-caption.json
england_epl,2014-2015,2015-02-21,2015,2,21,16:00,2 - 1,Swansea,Manchester United,4-2-3-1,4-3-1-2,Swansea.com Stadium (Swansea),Neil Swarbrick,database/Game_dataset/england_epl_2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United/Labels-caption.json
england_epl,2014-2015,2015-02-22,2015,2,22,17:15,0 - 2,Southampton,Liverpool,4-3-3,3-4-2-1,St. Mary's Stadium (Southampton),Kevin Friend,database/Game_dataset/england_epl_2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool/Labels-caption.json
england_epl,2014-2015,2015-04-11,2015,4,11,18:30,0 - 1,Burnley,Arsenal,4-4-2,4-2-3-1,Turf Moor (Burnley),Michael Dean,database/Game_dataset/england_epl_2014-2015/2015-04-11 - 19-30 Burnley 0 - 1 Arsenal/Labels-caption.json
england_epl,2014-2015,2015-05-17,2015,5,17,17:00,1 - 1,Manchester United,Arsenal,4-1-4-1,4-2-3-1,Old Trafford (Manchester),Michael Dean,database/Game_dataset/england_epl_2014-2015/2015-05-17 - 18-00 Manchester United 1 - 1 Arsenal/Labels-caption.json
england_epl,2015-2016,2015-08-08,2015,8,8,18:30,2 - 2,Chelsea,Swansea,4-2-3-1,4-2-3-1,Stamford Bridge (London),Michael Oliver,database/Game_dataset/england_epl_2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea/Labels-caption.json
england_epl,2015-2016,2015-08-16,2015,8,16,17:00,3 - 0,Manchester City,Chelsea,4-2-3-1,4-2-3-1,Etihad Stadium (Manchester),Martin Atkinson,database/Game_dataset/england_epl_2015-2016/2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea/Labels-caption_with_gt.json
england_epl,2015-2016,2015-08-23,2015,8,23,14:30,2 - 3,West Brom,Chelsea,4-1-4-1,4-2-3-1,The Hawthorns (West Bromwich),Mark Clattenburg,database/Game_dataset/england_epl_2015-2016/2015-08-23 - 15-30 West Brom 2 - 3 Chelsea/Labels-caption_with_gt.json
england_epl,2015-2016,2015-08-29,2015,8,29,16:00,2 - 0,Manchester City,Watford,4-2-3-1,4-2-3-1,Etihad Stadium (Manchester),Mark Clattenburg,database/Game_dataset/england_epl_2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford/Labels-caption.json
england_epl,2015-2016,2015-08-29,2015,8,29,16:00,0 - 3,Liverpool,West Ham,4-3-3,4-3-3,Anfield (Liverpool),Kevin Friend,database/Game_dataset/england_epl_2015-2016/2015-08-29 - 17-00 Liverpool 0 - 3 West Ham/Labels-caption.json
england_epl,2015-2016,2015-08-29,2015,8,29,16:00,1 - 2,Chelsea,Crystal Palace,4-2-3-1,4-2-3-1,Stamford Bridge (London),Craig Pawson,database/Game_dataset/england_epl_2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace/Labels-caption.json
england_epl,2015-2016,2015-08-30,2015,8,30,17:00,2 - 1,Swansea,Manchester United,4-2-3-1,4-2-3-1,Swansea.com Stadium (Swansea),Martin Atkinson,database/Game_dataset/england_epl_2015-2016/2015-08-30 - 18-00 Swansea 2 - 1 Manchester United/Labels-caption.json
england_epl,2015-2016,2015-09-12,2015,9,12,13:45,3 - 1,Everton,Chelsea,4-3-1-2,4-2-3-1,Goodison Park (Liverpool),Andre Marriner,database/Game_dataset/england_epl_2015-2016/2015-09-12 - 14-45 Everton 3 - 1 Chelsea/Labels-caption.json
england_epl,2015-2016,2015-09-12,2015,9,12,16:00,0 - 1,Crystal Palace,Manchester City,4-2-3-1,4-4-2,Selhurst Park (London),Mike Jones,database/Game_dataset/england_epl_2015-2016/2015-09-12 - 17-00 Crystal Palace 0 - 1 Manchester City/Labels-caption.json
england_epl,2015-2016,2015-09-19,2015,9,19,18:30,1 - 2,Manchester City,West Ham,4-2-3-1,4-2-3-1,Etihad Stadium (Manchester),Robert Madley,database/Game_dataset/england_epl_2015-2016/2015-09-19 - 19-30 Manchester City 1 - 2 West Ham/Labels-caption.json
england_epl,2015-2016,2015-09-20,2015,9,20,17:00,2 - 3,Southampton,Manchester United,4-2-3-1,4-2-3-1,St. Mary's Stadium (Southampton),Mark Clattenburg,database/Game_dataset/england_epl_2015-2016/2015-09-20 - 18-00 Southampton 2 - 3 Manchester United/Labels-caption.json
england_epl,2015-2016,2015-09-26,2015,9,26,16:00,2 - 5,Leicester,Arsenal,4-4-2,4-2-3-1,King Power Stadium (Leicester),Craig Pawson,database/Game_dataset/england_epl_2015-2016/2015-09-26 - 17-00 Leicester 2 - 5 Arsenal/Labels-caption.json
